"Conhecer a verdade não é o mesmo que amá-la e amar a verdade não equivale a deleitar-se com ela.","Confucio"
"Se nós não entendemos a vida, como poderemos entender a morte?","Confucio"
"O pessimismo torna os homens cautelosos, enquanto, o otimismo torna os homens imprudentes.","Confucio"
"O mestre disse: O pródigo é arrogante e o avaro é mesquinho. É preferível a mesquinhez à arrogância.","Confucio"
"Aquele que não prevê as coisas longínquas expõe-se a desgraças próximas.","Confucio"
"Não há coisa mais fria do que o conselho cuja aplicação seja impossível.","Confucio"
"Quem não conhece o valor das palavras não saberá conhecer os homens.","Confucio"
"Não são as más ervas que sufocam o grão, é a negligência do cultivador.","Confucio"
"A virtude está no meio. Quem o ultrapassa não logra mais que os infelizes privados de alcançá-lo.","Confucio"
"A serenidade é apenas a casca da árvore da sabedoria, mas, não obstante, serve para esta perseverar.","Confucio"
"Cuida de evitar os crimes, para que não sejas obrigado a puni-los.","Confucio"
"Estudar é polir a pedra preciosa; cultivando o espírito, purificamo-lo.","Confucio"
"O mestre disse a um dos seus alunos: Yu, queres saber em que consiste o conhecimento? Consiste em ter consciência tanto de conhecer uma coisa quanto de não a conhecer. Este é o conhecimento.","Confucio"
"Qualquer um pode julgar um crime tão bem quanto eu, mas o que eu quero é corrigir os motivos que levaram esse crime a ser cometido.","Confucio"
"Para vencer na vida, exija muito de si e pouco dos outros…","Confucio"
"Se os homens fossem severos para consigo próprios e generosos para com os outros, nunca dariam azo a ressentimentos.","Confucio"
"Respeite a si mesmo e os outros o respeitarão.","Confucio"
"O que o homem superior busca está em si mesmo; o que o homem inferior busca está nos outros.","Confucio"
"Ao examinarmos os erros de um homem, conhecemos o seu caráter.","Confucio"
"Ama os homens em geral, acariciando as pessoas de bem.","Confucio"
"É melhor acender uma pequenina vela do que maldizer a escuridão.","Confucio"
"Não corrigir falhas é o mesmo que cometer novos erros.","Confucio"
"A honestidade, sem as regras do decoro, transforma-se em grosseria.","Confucio"
"Se um homem superior abandona a virtude, como pode fazer jus a esse nome.","Confucio"
"É mais fácil vencer um mau hábito hoje do que amanhã.","Confucio"
"O sábio teme o céu sereno; em compensação, quando vem a tempestade ele caminha sobre as ondas e desafia o vento.","Confucio"
"UMA IMAGEM VALE MAIS QUE MIL PALAVRAS","Confucio"
"A maior glória não é ficar de pé, mas levantar-se cada vez que se cai.","Confucio"
"Deliciar-se com a comida e exultar com a beleza feminina é humano.","Confucio"
"O homem sem constância não pode ser consolador nem médico.","Confucio"
"Sem uma língua comum não se podem concluir os negócios.","Confucio"
"O mestre disse: Não quero nada com quem não se pergunta: como fazer, como fazer?","Confucio"
"Saber o que é certo e não o fazer é a pior covardia.","Confucio"
"Ainda não vi ninguém que ame a virtude tanto quanto ama a beleza do corpo.","Confucio"
"Me perguntas por que compro arroz e flores? Compro arroz para viver e flores para ter algo pelo que viver.","Confucio"
"É preciso que o discípulo da sabedoria tenha o coração grande e corajoso. O fardo é pesado e a viagem longa.","Confucio"
"Querem que vos ensine o modo de chegar à ciência verdadeira? Aquilo que se sabe, saber que se sabe; aquilo que não se sabe, saber que não se sabe; na verdade é este o saber.","Confucio"
"Saber que nós sabemos o que nós sabemos, e saber que nós não sabemos o que nós não sabemos, esse é o conhecimento verdadeiro.","Confucio"
"Quem pretende ter felicidade e sabedoria ao mesmo tempo deve acostumar com as frequentes mudanças.","Confucio"
"Aja antes de falar e portanto, fale de acordo com os seus atos.","Confucio"
"Quando encontramos pessoas de valor, devemos pensar em como podemos ser iguais a elas. Quando, ao contrário, encontramos pessoas sem caráter, devemos nos voltar para o nosso interior e examinar o que se passa lá dentro.","Confucio"
"Conta-me o teu passado e saberei o teu futuro.","Confucio"
"Há homens incapazes para as ciências, mas não há os incapazes de virtude.","Confucio"
"A confiança dá à conversa mais conteúdo do que a inteligência.","Confucio"
"Todas as coisas fluem sem cessar como um rio, sem descanso, noite e dia.","Confucio"
"Quando as palavras perdem o significado as pessoas perdem sua liberdade.","Confucio"
"Transportai um punhado de terra todos os dias e fareis uma montanha.","Confucio"
"Nem todos os homens podem ser ilustres, mas todos podem ser bons.","Confucio"
"Só os grandes sábios e os grandes ignorantes são imutáveis.","Confucio"
"Aprende a viver e saberás morrer bem.","Confucio"
"Palavras rebuscadas e roupas insinuantes raramente são associadas à virtude de verdade.","Confucio"
"O mestre disse: Por natureza, os homens são próximos; a educação é que os afasta.","Confucio"
"Quando um homem não é influenciado por difamações continuamente repetidas ou por denúncias pelas quais ele sente alguma simpatia, ele pode ser chamado de perspicaz.","Confucio"
"Todos comem e bebem; mas quão poucos sabem distinguir os sabores!","Confucio"
"Deves ter a cabeça sempre fria, o coração sempre quente e a mão larga.","Confucio"
"Não posso ensinar a falar a quem não se esforça por falar.","Confucio"
"Estude o passado, se quiseres decifrar o futuro.","Confucio"
"Verifica se o que prometes é justo e possível, pois promessa é dívida.","Confucio"
"Estuda o passado se queres prognosticar o futuro.","Confucio"
"Quando você nasceu todos sorriam e só você chorava, faça de tudo pois quando você morrer todos irão chorar e você sorrirá.","Confucio"
"Qual seria a sua idade se você não soubesse quantos anos você tem?","Confucio"
"O Mestre disse: Os fofoqueiros são parias da virtude.","Confucio"
"Da força à injustiça há só um passo.","Confucio"
"Que nos façam mal e nos roubem, não há problema, a não ser que fiquemos pensando nisso.","Confucio"
"É de alma sublime repelir injúrias com benefícios.","Confucio"
"Ao Filósofo não interessa saber resposta, basta compreender o por quê das perguntas.","Confucio"
"O que eu ouço, eu esqueço. O que eu vejo, eu lembro. O que eu faço, eu entendo.","Confucio"
"Reconhecer o que se sabe e reconhecer o que não se sabe, é digno daquele que sabe.","Confucio"
"A virtude da humanidade consiste em amar os homens; a prudência, em conhecê-los.","Confucio"
"Homem superior é aquele que começa por pôr em prática as suas palavras e em seguida fala de acordo com as suas acções.","Confucio"
"Para onde quer que fores, vai todo, leva junto teu coração.","Confucio"
"Como é que um homem sem as virtudes que lhe são próprias pode cultivar a música?","Confucio"
"É preciso comprar arroz e flores. Arroz para viver E flores para ter pelo que viver.","Confucio"
"O homem superior fala com modéstia, mas age com audácia.","Confucio"
"Um governo é bom quando faz felizes os que sob ele vivem e atrai os que vivem longe.","Confucio"
"Conhecimento real é saber a extensão da própria ignorância.","Confucio"
"As naturezas dos homens são parecidas; são os seus hábitos que os afastam uns dos outros.","Confucio"
"A única maneira de não cometer erros é fazendo nada. Este, no entanto, é certamente um dos maiores erros que se poderia cometer em toda uma existência.","Confucio"
"Se os homens fossem bondosos, verdadeiros, afáveis, íntegros e sagazes, então teríamos o paraíso na humanidade.","Confucio"
"É o homem que torna grande a verdade, e não a verdade que torna grande o homem.","Confucio"
"Somente os extremamente sábios e os extremamente estúpidos é que não mudam.","Confucio"
"O mestre disse: Quem chega aos quarenta anos sem ser estimado, não o será nunca mais.","Confucio"
